module,expected_standard,expected_spec,expected_protocol,expected_lesson,expected_assessment,present_standard_count,present_spec_count,present_protocol_count,present_lesson_count,present_assessment_count,notes,expected_tasks,completeness_score
Care_Cooperative,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Facilities_Safety,tbd,tbd,tbd,tbd,tbd,10,0,0,0,0,,,
Facilities_Setups,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Foundations_Lab,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Health_Conditioning,tbd,tbd,tbd,tbd,tbd,1,0,0,0,0,,,
Health_Conditioning_Advanced,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Health_Dental,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Health_FirstAid,1,0,1,1,1,1,0,1,1,1,,,100.0
Health_InjuryPrevention,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Health_Nutrition,1,0,1,1,1,1,0,1,1,1,,,100.0
Health_Rehab,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Ops_Accessibility,1,0,1,1,1,1,0,1,1,1,,,100.0
Ops_AssessmentBank,tbd,tbd,tbd,tbd,tbd,0,1,0,0,0,,,
Ops_ContributorQA,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Ops_OpenSource,tbd,tbd,tbd,tbd,tbd,1,0,0,0,0,,,
Ops_QualityControl,tbd,tbd,tbd,tbd,tbd,0,1,0,0,1,,,
Ops_TrainingLogs,tbd,tbd,tbd,tbd,tbd,0,0,1,0,0,,,
Policy_Disclaimers,tbd,tbd,tbd,tbd,tbd,7,2,0,0,0,,,
Policy_Employment,1,0,1,1,1,1,0,1,1,1,,,100.0
Policy_Housing,1,0,1,1,1,1,0,1,1,1,,,100.0
Policy_Schools,1,0,1,1,1,1,0,1,1,1,,,100.0
Safety_FieldHandling,tbd,tbd,tbd,tbd,tbd,1,0,1,0,0,,,
Safety_Muzzle,tbd,tbd,tbd,tbd,tbd,1,0,1,1,0,,,
Service_ConflictResolution,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Service_CrossTraining,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Service_HandlerSkills,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Service_PublicAccess,tbd,tbd,tbd,tbd,tbd,2,0,1,1,1,,,
Service_PublicAccess_Advanced,tbd,tbd,tbd,tbd,tbd,3,0,0,0,0,,,
Service_TaskLibrary,1,1,1,1,1,1,1,1,1,1,,,100.0
Service_Tasks_Framework,tbd,tbd,tbd,tbd,tbd,1,1,1,1,0,,,
Service_Tasks_Medical,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Service_Travel,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Shelter_Playgroups,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Shelter_Volunteer_Ladder,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Spine1_Foundations,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Spine2_CGC,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Spine3_Reliability,tbd,tbd,tbd,tbd,tbd,1,1,1,1,0,,,
Sports_Agility,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Disc,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Dock,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Flyball,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Herding,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Nosework,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Obedience,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Rally,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Tracking,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
Sports_Trick,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
WorkingDog_CareerPaths,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
WorkingDog_Detection,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
WorkingDog_Protection_Safety,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
WorkingDog_SAR,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
WorkingDog_Selection,tbd,tbd,tbd,tbd,tbd,0,0,0,0,0,,,
